label,timestamp,latitute,longitude,altitute,accuracy,provider
No activity,1422015721431,NA,NA,NA,NA,NA
Work,1422015731443,46.7800922,6.6597987,0.0,14.142,fused
Work,1422016034077,46.7800922,6.6597987,0.0,14.142,fused
Work,1422016338978,46.7800922,6.6597987,0.0,14.142,fused
Work,1422016640828,46.7800922,6.6597987,0.0,14.142,fused
Work,1422016946929,46.7800922,6.6597987,0.0,14.142,fused
Work,1422017254796,46.7800922,6.6597987,0.0,14.142,fused
Work,1422017552583,46.7800922,6.6597987,0.0,14.142,fused
Work,1422017856727,46.7800922,6.6597987,0.0,14.142,fused
Work,1422018159049,46.7800922,6.6597987,0.0,14.142,fused
Work,1422018462551,46.7800922,6.6597987,0.0,14.142,fused
Work,1422018768043,46.7800922,6.6597987,0.0,14.142,fused
Work,1422019069576,46.7800922,6.6597987,0.0,14.142,fused
